"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","26914","Verify VIN Key popup ""In Transit"" Tab for Subaru of Wakefield","chromium","Fri Aug 08 18:56:14 IST 2025","failed","Fri Aug 08 18:56:41 IST 2025","","Retailer: Subaru of Wakefield","",""
"","66416","Verify the Page Index functionality in ""Total Vehicles"" Tab for Mitchell Subaru","chromium","Fri Aug 08 14:36:08 IST 2025","passed","Fri Aug 08 14:37:15 IST 2025","","Retailer: Mitchell Subaru","",""
"","34140","Verify that the trim options displayed are relevant to the selected car model ""Mark as SSLP"" Tab for Burlington Subaru","chromium","Fri Aug 08 15:34:29 IST 2025","failed","Fri Aug 08 15:35:04 IST 2025","","Retailer: Burlington Subaru","",""
"","100128","Buy a Demo: Validate the functionality of the Search box in the 'Buy a Demo' tab. ""Buy a Demo"" Tab for Profile Subaru","chromium","Fri Aug 08 19:13:09 IST 2025","broken","Fri Aug 08 19:14:49 IST 2025","","Retailer: Profile Subaru","",""
"","103653","Verify that the vehicle count in the filter should match with the grid data.""In Transit"" Tab for Mitchell Subaru","chromium","Fri Aug 08 17:57:23 IST 2025","broken","Fri Aug 08 17:59:06 IST 2025","","Retailer: Mitchell Subaru","",""
"","48571","Verify the Search Box functionality in ""On Order"" Tab for Profile Subaru","chromium","Fri Aug 08 14:44:09 IST 2025","passed","Fri Aug 08 14:44:57 IST 2025","","Retailer: Profile Subaru","",""
"","55042","Verify that the grid has the vehicles only with vehicle status as ""On Lot"" ""On Lot"" Tab for Profile Subaru","chromium","Fri Aug 08 15:48:16 IST 2025","passed","Fri Aug 08 15:49:11 IST 2025","","Retailer: Profile Subaru","",""
"","63889","Verify Print Preview Functionality., ""Mark as SSLP"" Tab for Mitchell Subaru","chromium","Fri Aug 08 19:18:44 IST 2025","passed","Fri Aug 08 19:19:48 IST 2025","","Retailer: Mitchell Subaru","",""
"","52700","Verify VIN Key popup ""Total Vehicles"" Tab for Center Subaru","chromium","Fri Aug 08 18:52:46 IST 2025","passed","Fri Aug 08 18:53:39 IST 2025","","Retailer: Center Subaru","",""
"","65132","Verify that the ""Search the grid"" function displays results even when filters are applied ""Mark as SSLP"" Tab for Profile Subaru","chromium","Fri Aug 08 16:29:10 IST 2025","passed","Fri Aug 08 16:30:16 IST 2025","","Retailer: Profile Subaru","",""
"","47714","Verify  the breadcrumb in ""On Lot"" Tab for Mitchell Subaru","chromium","Fri Aug 08 14:17:48 IST 2025","passed","Fri Aug 08 14:18:35 IST 2025","","Retailer: Mitchell Subaru","",""
"","50202","Verify the ""Filters"" text is changed to ""Clear Filters"" with applied filters count when filters are applied.""Total Vehicles"" Tab for Subaru of New England Inc","chromium","Fri Aug 08 16:06:38 IST 2025","passed","Fri Aug 08 16:07:29 IST 2025","","Retailer: Subaru of New England Inc","",""
"","77255","Verify the Pagination functionality with filters and sort applied for rememberence. ""Total Vehicles"" Tab for Reynolds Garage and Marine","chromium","Fri Aug 08 18:38:52 IST 2025","passed","Fri Aug 08 18:40:09 IST 2025","","Retailer: Reynolds Garage and Marine","",""
"","103241","Verify that the vehicle count in the filter should match with the grid data.""Total Vehicles"" Tab for Subaru of New England Inc","chromium","Fri Aug 08 17:53:54 IST 2025","broken","Fri Aug 08 17:55:37 IST 2025","","Retailer: Subaru of New England Inc","",""
"","89317","Validate Mark SSLP for Profile Subaru","chromium","Fri Aug 08 13:57:07 IST 2025","failed","Fri Aug 08 13:58:37 IST 2025","","Retailer: Profile Subaru","",""
"","43791","Verify the sort applied Is removed when the grid is refreshed by changing / adding the filter.""Total Vehicles"" Tab for Subaru of New England Inc","chromium","Fri Aug 08 16:47:34 IST 2025","passed","Fri Aug 08 16:48:18 IST 2025","","Retailer: Subaru of New England Inc","",""
